video_id,title,description,publish_date,duration,view_count,like_count,url,thumbnail,processing_status,processing_date,transcript_path,embeddings_status,embeddings_date,embeddings_count
M95WZQin3TU,"""Pour Out Your Heart Before Him""  Psalm 62:1-12","Fellowship Baptist Church - Oakton, VA
April 13, 2025 (Evening Worship)",20250414,2105,4,0,https://www.youtube.com/watch?v=M95WZQin3TU,https://i.ytimg.com/vi/M95WZQin3TU/maxresdefault.jpg,processed,2025-04-14T18:55:27.737117,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\M95WZQin3TU.json,pending,,0
aTSM21mPzc0,"""We Are His Ambassadors""  II Corinthians 5:18-20","Fellowship Baptist Church - Oakton, VA
April 13, 2025 (Morning Worship)",20250413,2636,0,0,https://www.youtube.com/watch?v=aTSM21mPzc0,https://i.ytimg.com/vi/aTSM21mPzc0/maxresdefault.jpg,processed,2025-04-14T18:59:34.487731,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\aTSM21mPzc0.json,pending,,0
IEGhT2j43Rg,"""Transformation""   II Corinthians 5:17","Fellowship Baptist Church - Oakton, VA
April 6, 2025 (Morning Worship)",20250406,2697,2,0,https://www.youtube.com/watch?v=IEGhT2j43Rg,https://i.ytimg.com/vi/IEGhT2j43Rg/maxresdefault.jpg,processed,2025-04-14T19:04:03.677452,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\IEGhT2j43Rg.json,pending,,0
rAbk_dVtRjc,"""Seven Lessons From Seven Churches""  Revelation 2-3","Fellowship Baptist Church - Oakton, VA
March 30, 2025 (Evening Worship)",20250331,2688,3,0,https://www.youtube.com/watch?v=rAbk_dVtRjc,https://i.ytimg.com/vi/rAbk_dVtRjc/maxresdefault.jpg,processed,2025-04-14T19:08:24.357182,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\rAbk_dVtRjc.json,pending,,0
9aMxxX-X0kc,"""Who Am I Living For?""  II Corinthians 5:14-16","Fellowship Baptist Church - Oakton, VA
March 30, 2025 (Morning Worship)",20250330,2521,3,0,https://www.youtube.com/watch?v=9aMxxX-X0kc,https://i.ytimg.com/vi/9aMxxX-X0kc/maxresdefault.jpg,processed,2025-04-14T19:12:22.092354,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\9aMxxX-X0kc.json,pending,,0
07naoQP9rPI,"""The Church Of The Laodiceans - Part Two""  Revelation 3:18-22","Fellowship Baptist Church - Oakton, VA
March 23, 2025 (Evening Worship)",20250326,2154,6,0,https://www.youtube.com/watch?v=07naoQP9rPI,https://i.ytimg.com/vi/07naoQP9rPI/maxresdefault.jpg,processed,2025-04-14T19:16:00.319667,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\07naoQP9rPI.json,pending,,0
QI1RKiGpoHA,"""The Church Of The Laodiceans - Part One"" Revelation 3:14-17","Fellowship Baptist Church - Oakton, VA
March 16, 2025 (Evening Worship)",20250322,2348,12,0,https://www.youtube.com/watch?v=QI1RKiGpoHA,https://i.ytimg.com/vi/QI1RKiGpoHA/maxresdefault.jpg,processed,2025-04-14T19:19:42.824068,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\QI1RKiGpoHA.json,pending,,0
iMFOWiAni18,"""The Judgment Seat Of Christ""  II Corinthians 5:10-13","Fellowship Baptist Church, Oakton, VA
March 16, 2025 (Morning Worship)",20250316,3213,16,0,https://www.youtube.com/watch?v=iMFOWiAni18,https://i.ytimg.com/vi/iMFOWiAni18/maxresdefault.jpg,processed,2025-04-14T19:25:02.172784,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\iMFOWiAni18.json,pending,,0
5cqwtLBS4OE,"""Striving To Please My Saviour""  II Corinthians 5:9","Fellowship Baptist Church - Oakton, VA
March 9, 2025 (Morning Worship)",20250310,2863,17,0,https://www.youtube.com/watch?v=5cqwtLBS4OE,https://i.ytimg.com/vi/5cqwtLBS4OE/maxresdefault.jpg,processed,2025-04-14T19:29:51.041747,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\5cqwtLBS4OE.json,pending,,0
Ka9pI-oYLw8,"""The Certainty Of Heaven""  II Corinthians 5:1-8","Fellowship Baptist Church - Oakton, VA
March 2, 2025 (Morning Worship)",20250303,2778,5,0,https://www.youtube.com/watch?v=Ka9pI-oYLw8,https://i.ytimg.com/vi/Ka9pI-oYLw8/maxresdefault.jpg,processed,2025-04-14T19:35:01.645279,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\Ka9pI-oYLw8.json,pending,,0
KnZFjfOQSr4,"""The Church In Philadelphia""  Revelation 3:7-13","Fellowship Baptist Church - Oakton, VA
March 2, 2025 (Evening Worship)",20250303,2108,5,0,https://www.youtube.com/watch?v=KnZFjfOQSr4,https://i.ytimg.com/vi/KnZFjfOQSr4/maxresdefault.jpg,processed,2025-04-14T19:38:31.158023,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\KnZFjfOQSr4.json,pending,,0
DtcTsCiwnIM,"""O How Love I Thy Law"" Psalm 119:97","Fellowship Baptist Church - Oakton, VA
February 23, 2025 (Evening Worship)",20250224,2445,10,0,https://www.youtube.com/watch?v=DtcTsCiwnIM,https://i.ytimg.com/vi/DtcTsCiwnIM/maxresdefault.jpg,processed,2025-04-14T19:42:37.713739,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\DtcTsCiwnIM.json,pending,,0
G38C0Tuh6UA,"""We Faint Not"" II Corinthians 4:8-18","Fellowship Baptist Church - Oakton, VA
February 23, 2025 (Morning Worship)",20250224,3104,11,0,https://www.youtube.com/watch?v=G38C0Tuh6UA,https://i.ytimg.com/vi/G38C0Tuh6UA/maxresdefault.jpg,processed,2025-04-14T19:47:59.864685,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\G38C0Tuh6UA.json,pending,,0
5gWVxtcarvc,"""Unto The Church In Sardis"" - Revelation 3:1-6","Fellowship Baptist Church - Oakton, VA
February 16, 2025 (Evening Worship)",20250217,2537,11,0,https://www.youtube.com/watch?v=5gWVxtcarvc,https://i.ytimg.com/vi/5gWVxtcarvc/maxresdefault.jpg,processed,2025-04-14T19:52:05.914698,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\5gWVxtcarvc.json,pending,,0
nKp-m3cnElM,"""This Treasure In Earthen Vessels""  II Corinthians 4:1-7","Fellowship Baptist Church - Oakton, VA 
February 16, 2025 (Morning Worship)",20250216,2470,7,0,https://www.youtube.com/watch?v=nKp-m3cnElM,https://i.ytimg.com/vi/nKp-m3cnElM/maxresdefault.jpg,processed,2025-04-14T19:56:12.785830,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\nKp-m3cnElM.json,pending,,0
4jMDiZ3Rc6E,"""The Glorious Gospel""  II Corinthians 3:1-18","Fellowship Baptist Church - Oakton, VA 
February 9, 2025 (Morning Worship)",20250211,3222,5,0,https://www.youtube.com/watch?v=4jMDiZ3Rc6E,https://i.ytimg.com/vi/4jMDiZ3Rc6E/maxresdefault.jpg,processed,2025-04-14T20:01:41.612982,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\4jMDiZ3Rc6E.json,pending,,0
MyCOoL7O768,"""The Church In Thyatira - Part 2""  Revelation 2:20-29","Fellowship Baptist Church - Oakton, VA
February 9, 2025 (Evening Worship)",20250211,2614,7,0,https://www.youtube.com/watch?v=MyCOoL7O768,https://i.ytimg.com/vi/MyCOoL7O768/maxresdefault.jpg,processed,2025-04-14T20:06:18.033863,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\MyCOoL7O768.json,pending,,0
9cUH_kdAYSs,"""Let A Man Examine Himself""  I Corinthians 11:17-31","Fellowship Baptist Church - Oakton, VA
February 2, 2025 (Evening Worship)",20250203,2671,6,0,https://www.youtube.com/watch?v=9cUH_kdAYSs,https://i.ytimg.com/vi/9cUH_kdAYSs/maxresdefault.jpg,processed,2025-04-14T20:10:58.763602,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\9cUH_kdAYSs.json,pending,,0
giwhcbMIrNo,"""Victory In Jesus""  II Corinthians 2:12-17","Fellowship Baptist Church - Oakton, VA 
February 2, 2025 (Morning Worship)",20250203,2829,7,0,https://www.youtube.com/watch?v=giwhcbMIrNo,https://i.ytimg.com/vi/giwhcbMIrNo/maxresdefault.jpg,processed,2025-04-14T20:15:44.472030,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\giwhcbMIrNo.json,pending,,0
cpLrMtVrJ9o,"""Forgiveness"" II Corinthians 2:5-11","Fellowship Baptist Church - Oakton, VA
January 26, 2025 (Morning Worship)",20250126,2917,16,0,https://www.youtube.com/watch?v=cpLrMtVrJ9o,https://i.ytimg.com/vi/cpLrMtVrJ9o/maxresdefault.jpg,processed,2025-04-14T20:20:58.764100,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\cpLrMtVrJ9o.json,pending,,0
A0Rp78gBbvQ,"""Jesus Is Coming Again"" John 14:1-3","Fellowship Baptist Church - Oakton, VA 
January 19, 2025 (Morning Worship)",20250119,3197,11,0,https://www.youtube.com/watch?v=A0Rp78gBbvQ,https://i.ytimg.com/vi/A0Rp78gBbvQ/maxresdefault.jpg,processed,2025-04-14T20:26:34.605644,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\A0Rp78gBbvQ.json,pending,,0
najkOZaBPgU,"""The Church In Thyatira - Part 1"" Revelation 2:18-19","Fellowship Baptist Church - Oakton, VA 
January 12, 2025 (Evening Worship)",20250119,2268,7,0,https://www.youtube.com/watch?v=najkOZaBPgU,https://i.ytimg.com/vi/najkOZaBPgU/maxresdefault.jpg,processed,2025-04-14T20:30:33.621189,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\najkOZaBPgU.json,pending,,0
othOg-hLUps,"""When You Are Misunderstood"" II Corinthians 1:12-2:4","Fellowship Baptist Church - Oakton, VA 
January 12, 2025 (Morning Worship)",20250112,2780,12,0,https://www.youtube.com/watch?v=othOg-hLUps,https://i.ytimg.com/vi/othOg-hLUps/maxresdefault.jpg,processed,2025-04-14T20:35:14.187654,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\othOg-hLUps.json,pending,,0
BrRJsjtlhBg,"""With Suffering Comes Comfort"" II Corinthians 1:1-11","Fellowship Baptist Church - Oakton, VA 
January 5, 2025 (Morning Worship)",20250106,2867,11,0,https://www.youtube.com/watch?v=BrRJsjtlhBg,https://i.ytimg.com/vi/BrRJsjtlhBg/maxresdefault.jpg,processed,2025-04-14T20:40:00.180167,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\BrRJsjtlhBg.json,pending,,0
jRZn5p4HETY,"""The Church In Pergamos"" Revelation 2:12-17","Fellowship Baptist Church - Oakton, VA 
January 5, 2025 (Evening Worship)",20250106,2754,10,1,https://www.youtube.com/watch?v=jRZn5p4HETY,https://i.ytimg.com/vi/jRZn5p4HETY/maxresdefault.jpg,processed,2025-04-14T20:44:41.944457,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\jRZn5p4HETY.json,pending,,0
pYLTkv5zKls,"""When God Puts Something In Your Heart"" Nehemiah 2:11-20","Fellowship Baptist Church - Oakton, VA 
December 29, 2024 (Evening Worship)",20241230,2504,11,0,https://www.youtube.com/watch?v=pYLTkv5zKls,https://i.ytimg.com/vi/pYLTkv5zKls/maxresdefault.jpg,processed,2025-04-14T20:48:51.188961,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\pYLTkv5zKls.json,pending,,0
8a6mW0kuSNU,"""God's Grace Is Sufficient"" II Corinthians 12:7-10","Fellowship Baptist Church - Oakton, VA 
December 29, 2024 (Morning Worship)",20241229,2073,12,0,https://www.youtube.com/watch?v=8a6mW0kuSNU,https://i.ytimg.com/vi/8a6mW0kuSNU/maxresdefault.jpg,processed,2025-04-14T20:52:14.212675,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\8a6mW0kuSNU.json,pending,,0
4j6miDNAqs4,"""We Have Come To Worship Him"" Matthew 2:1-12","Fellowship Baptist Church - Oakton, VA 
December 22, 2024 (Morning Worship)",20241222,2920,12,0,https://www.youtube.com/watch?v=4j6miDNAqs4,https://i.ytimg.com/vi/4j6miDNAqs4/maxresdefault.jpg,processed,2025-04-14T20:57:17.794609,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\4j6miDNAqs4.json,pending,,0
C4vnJdsfZok,"""Strengthened For Service"" II Timothy 4:14-22","Fellowship Baptist Church - Oakton, VA 
December 15, 2024 (Morning Worship)",20241216,2904,15,0,https://www.youtube.com/watch?v=C4vnJdsfZok,https://i.ytimg.com/vi/C4vnJdsfZok/maxresdefault.jpg,processed,2025-04-14T21:02:04.873269,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\C4vnJdsfZok.json,pending,,0
eKXXb-CvsCo,"""Loving God With All Your Heart"" John 21:15-19","Fellowship Baptist Church - Oakton, VA 
December 1, 2024 (Evening Worship)",20241202,2506,9,0,https://www.youtube.com/watch?v=eKXXb-CvsCo,https://i.ytimg.com/vi/eKXXb-CvsCo/maxresdefault.jpg,processed,2025-04-14T21:06:15.037812,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\eKXXb-CvsCo.json,pending,,0
